  -1.1000000e+03  -4.2301382e-01   3.1967725e-01
  -1.0990000e+03  -4.1386845e-01   3.1213124e-01
  -1.0980000e+03  -4.0452547e-01   3.0015437e-01
  -1.0970000e+03  -4.1544685e-01   3.2342071e-01
  -1.0960000e+03  -4.0355671e-01   3.1345501e-01
  -1.0950000e+03  -4.0557647e-01   3.1630970e-01
  -1.0940000e+03  -4.2910521e-01   3.1469104e-01
  -1.0930000e+03  -4.3578625e-01   2.9594713e-01
  -1.0920000e+03  -4.5775269e-01   2.6642466e-01
  -1.0910000e+03  -4.6688026e-01   2.6772739e-01
  -1.0900000e+03  -4.4617867e-01   2.8998021e-01
  -1.0890000e+03  -4.5150471e-01   2.8649792e-01
  -1.0880000e+03  -4.4191349e-01   3.1082023e-01
  -1.0870000e+03  -4.0546202e-01   3.1081820e-01
  -1.0860000e+03  -4.2226701e-01   3.0657503e-01
  -1.0850000e+03  -4.0733049e-01   3.0307324e-01
  -1.0840000e+03  -4.5191705e-01   3.1443013e-01
  -1.0830000e+03  -4.1820841e-01   2.8376025e-01
  -1.0820000e+03  -4.0877751e-01   2.8847189e-01
  -1.0810000e+03  -4.2136657e-01   3.0133459e-01
  -1.0800000e+03  -4.6299206e-01   3.2660708e-01
  -1.0790000e+03  -4.4849413e-01   3.1528028e-01
  -1.0780000e+03  -4.3576779e-01   3.3096003e-01
  -1.0770000e+03  -4.3463151e-01   3.3432059e-01
  -1.0760000e+03  -4.4649656e-01   3.2473743e-01
  -1.0750000e+03  -4.3385886e-01   3.2681343e-01
  -1.0740000e+03  -4.2840184e-01   3.1742472e-01
  -1.0730000e+03  -4.3367643e-01   3.1160027e-01
  -1.0720000e+03  -4.2559953e-01   2.9459189e-01
  -1.0710000e+03  -4.1437695e-01   2.7894816e-01
  -1.0700000e+03  -3.8893285e-01   2.5844823e-01
  -1.0690000e+03  -3.8452353e-01   2.4507875e-01
  -1.0680000e+03  -4.1569917e-01   2.6715066e-01
  -1.0670000e+03  -4.1356685e-01   2.7630815e-01
  -1.0660000e+03  -3.8798815e-01   3.0358429e-01
  -1.0650000e+03  -3.9104099e-01   2.8930830e-01
