   5.0000000e+00   1.0263436e-01
   6.0000000e+00   1.1657256e-01
   9.0000000e+00   1.4177290e-01
   1.2000000e+01   1.5772421e-01
   1.6000000e+01   1.7922290e-01
   2.1000000e+01   1.9723722e-01
   2.9000000e+01   2.2464371e-01
   3.9000000e+01   2.5348097e-01
   5.3000000e+01   2.8355124e-01
   7.1000000e+01   3.2097160e-01
   9.6000000e+01   3.5068229e-01
   1.2900000e+02   4.0421171e-01
   1.7400000e+02   4.8255397e-01
   2.3400000e+02   5.2868659e-01
   3.1400000e+02   6.1518626e-01
   4.2300000e+02   6.2699393e-01
   5.6900000e+02   6.8041223e-01
   7.6500000e+02   6.7588633e-01
   1.0280000e+03   8.3086069e-01
   1.3830000e+03   9.6099696e-01
   1.8590000e+03   9.6457679e-01
   2.4990000e+03   1.0857053e+00
