   7.3250650e+05   9.4855958e-01
   7.3250662e+05   9.4626271e-01
   7.3250675e+05   9.4794927e-01
   7.3250688e+05   9.5246744e-01
   7.3250700e+05   9.5337198e-01
   7.3250712e+05   9.5178544e-01
   7.3250725e+05   9.5301511e-01
   7.3250738e+05   9.5533389e-01
   7.3250750e+05   9.5494967e-01
   7.3250762e+05   9.5466572e-01
   7.3250775e+05   9.5533701e-01
   7.3250788e+05   9.5483960e-01
   7.3250800e+05   9.5528007e-01
   7.3250812e+05   9.5510189e-01
   7.3250825e+05   9.5533583e-01
   7.3250838e+05   9.5656000e-01
   7.3250850e+05   9.5573433e-01
   7.3250862e+05   9.5615995e-01
   7.3250875e+05   9.5613989e-01
   7.3250888e+05   9.5728272e-01
   7.3250900e+05   9.5783050e-01
   7.3250912e+05   9.5601660e-01
   7.3250925e+05   9.5536257e-01
   7.3250938e+05   9.5678845e-01
   7.3250950e+05   9.5544510e-01
   7.3250962e+05   9.5201641e-01
   7.3250975e+05   9.5216525e-01
   7.3250988e+05   9.5621812e-01
   7.3251000e+05   9.5631636e-01
   7.3251012e+05   9.5250703e-01
   7.3251025e+05   9.5286921e-01
   7.3251038e+05   9.5506732e-01
   7.3251050e+05   9.5447105e-01
   7.3251062e+05   9.5147279e-01
   7.3251075e+05   9.5455847e-01
   7.3251088e+05   9.5956075e-01
   7.3251100e+05   9.5947110e-01
   7.3251112e+05   9.5708719e-01
   7.3251125e+05   9.5592986e-01
   7.3251138e+05   9.5824793e-01
   7.3251150e+05   9.5899153e-01
   7.3251162e+05   9.5783531e-01
   7.3251175e+05   9.5818111e-01
   7.3251188e+05   9.5727126e-01
   7.3251200e+05   9.5708593e-01
   7.3251212e+05   9.5479765e-01
   7.3251225e+05   9.5466587e-01
   7.3251238e+05   9.5604298e-01
   7.3251250e+05   9.5616452e-01
   7.3251262e+05   9.5377176e-01
   7.3251275e+05   9.5367693e-01
   7.3251288e+05   9.5512437e-01
   7.3251300e+05   9.5497367e-01
   7.3251312e+05   9.5297065e-01
   7.3251325e+05   9.5335316e-01
   7.3251338e+05   9.5485663e-01
   7.3251350e+05   9.5511255e-01
   7.3251362e+05   9.5288362e-01
   7.3251375e+05   9.5339880e-01
   7.3251388e+05   9.5466545e-01
   7.3251400e+05   9.5485851e-01
   7.3251412e+05   9.5207917e-01
   7.3251425e+05   9.5216437e-01
   7.3251438e+05   9.5251177e-01
   7.3251450e+05   9.5112913e-01
   7.3251462e+05   9.4950888e-01
   7.3251475e+05   9.4575794e-01
   7.3251488e+05   9.3677481e-01
   7.3251500e+05   9.4020309e-01
   7.3251512e+05   9.3464232e-01
   7.3251525e+05   9.2749428e-01
   7.3251538e+05   9.0883639e-01
   7.3251550e+05   8.9351238e-01
   7.3251562e+05   8.8127809e-01
   7.3251575e+05   8.6248127e-01
   7.3251588e+05   8.0074134e-01
   7.3251600e+05   8.0509042e-01
   7.3251612e+05   8.1892209e-01
   7.3251625e+05   8.1839145e-01
   7.3251638e+05   7.9180693e-01
   7.3251650e+05   7.6908001e-01
   7.3251662e+05   7.7148277e-01
   7.3251675e+05   7.7378170e-01
   7.3251688e+05   7.7811965e-01
   7.3251700e+05   7.8291416e-01
   7.3251712e+05   7.9717470e-01
   7.3251725e+05   8.0299875e-01
   7.3251738e+05   8.0500513e-01
   7.3251750e+05   7.9963159e-01
   7.3251762e+05   8.0553302e-01
   7.3251775e+05   8.1463000e-01
   7.3251788e+05   8.1786952e-01
   7.3251800e+05   8.1681361e-01
   7.3251812e+05   8.0846745e-01
   7.3251825e+05   8.0392476e-01
   7.3251838e+05   7.9995286e-01
   7.3251850e+05   8.0224452e-01
   7.3251862e+05   7.9212470e-01
   7.3251875e+05   7.9193533e-01
   7.3251888e+05   7.9082123e-01
   7.3251900e+05   7.8929346e-01
   7.3251912e+05   7.8489170e-01
   7.3251925e+05   7.8278700e-01
   7.3251938e+05   7.8294730e-01
   7.3251950e+05   7.8525582e-01
   7.3251962e+05   7.7875974e-01
   7.3251975e+05   7.8069060e-01
   7.3251988e+05   7.7213518e-01
   7.3252000e+05   7.7162001e-01
   7.3252012e+05   7.7562366e-01
   7.3252025e+05   7.7372633e-01
   7.3252038e+05   7.6418109e-01
   7.3252050e+05   7.4522256e-01
   7.3252062e+05   7.4662291e-01
   7.3252075e+05   7.4245155e-01
   7.3252088e+05   7.2811602e-01
   7.3252100e+05   7.3131364e-01
   7.3252112e+05   7.3573441e-01
   7.3252125e+05   7.3507720e-01
   7.3252138e+05   7.2737404e-01
